Nombre empresaAlfabeto latino,NACE Rev. 2 Código principal (4 digitos),Código de consolidación,Último año disponible,"Ingresos explotación (Cifra ventas)
mil USD Últ, año disp,","Número de empleados
Últ. año disp.","Ciudad
Latin Alphabet","Activos fijos
mil USD Últ. año disp.","Activo circulante
mil USD Últ. año disp.","Activos totales
mil USD Últ. año disp.","Fondos de los accionistas
mil USD Últ. año disp.","Deuda a largo plazo
mil USD Últ. año disp.","Ingresos explotación (Cifra ventas)
mil USD Últ. año disp.","Resultado actividades ordinarias
mil USD Últ. año disp.","P/G por periodo [=ingresos netos]
mil USD Últ. año disp.","ROE - base: result. antes impuestos
Últ. año disp.","ROA utilizando Ingresos Netos
Últ. año disp.","Margen de beneficio
Últ. año disp."
PUBLICIDAD Y SERIGRAFIA ALCE SL,1330,U1,2021,195.212225449848,3,VALENCIA,8.46983427128792,167.494392601347,175.964226872635,95.2472120865583,59.8896956881285,195.212225449848,21.5623313934803,21.5623313934803,22.638,12.254,11.046
ARTESANIA DE LANAS S.L.,1399,U1,2006,194.811067637529,5,TERRASSA,73.8669318934536,330.489472151005,404.356404044459,10.0257344767714,78.6138963200498,194.811067637529,-16.1218363000846,-12.8504020034766,-160.805,-3.178,-8.276
INDUSTRIAL SALMANTINA TRITEX SA,1392,U1,2022,194.51866049028,5,CIUDAD-RODRIGO,114.083598590058,134.374853904557,248.458452494615,168.336096232361,43.0151894098282,194.51866049028,-0.892125143969059,-0.892125143969059,-0.707,-0.359,-0.612
JARETA Y NIDO SL,1330,U1,2022,193.460967107749,2,MADRID,312.084151777768,209.628482150769,521.712633928537,498.65288098433,8.44444947045445,193.460967107749,16.0552447808862,16.0552447808862,4.293,3.077,11.065
GRAVATS I SUBLIMATS ARTIGAS S.L.,1330,U1,2022,193.133713052762,1,PREMIA DE MAR,312.991454632455,112.477086440843,425.468541073298,350.267805495709,55.088082347399,193.133713052762,-12.8388713600636,-12.8388713600636,-3.847,-3.018,-6.977
ALCOPEL 2003 SL,1392,U1,2022,192.91678804884,6,ALCOI/ALCOY,10.9153765089333,93.1388484350979,104.054224944031,81.5280277278304,2.84425819135904,192.91678804884,2.61311541625857,2.61311541625857,5.075,2.511,2.145
ZARASEGO SL,1392,U1,2022,191.405352578008,1,TALAVERA DE LA REINA,993.913762276101,153.440021109319,1147.35378338542,1067.67294598133,57.5191505630016,191.405352578008,-51.2912228210866,-51.2912228210866,-6.405,-4.47,-35.73
TEIXITS ARJIM S.L.,1330,U1,1999,191.322265080214,3,GIRONELLA,221.385958225727,71.4361811095476,292.822139335275,63.4325239789486,155.362567955852,191.322265080214,-0.27425610601902,0.669064346551895,0.021,0.228,0.007
CARLOTENA DE TOLDOS SL.,1392,U1,2022,190.841644082469,4,LA CARLOTA,143.722350497741,61.5314951839268,205.253845681667,36.177476074481,111.986525338209,190.841644082469,2.43393736822605,2.43393736822605,7.931,1.186,1.503
TRENATS INDUSTRIALS ESPINALT SL,1394,U1,2021,190.621728447676,3,SANTPEDOR,86.8430006770849,87.8304242771387,174.673424954224,17.2988274260759,63.4930295883179,190.621728447676,-5.23934106631279,-5.23934106631279,-30.287,-3.0,-2.749
REPARACIONES TEXTILES FERNANDEZ SL,1396,U1,2017,190.159081522977,4,VALLADOLID,65.0740068727183,177.491755612578,242.565762485297,207.621387024758,0.0,190.159081522977,8.24907030117035,8.24907030117035,5.521,3.401,6.028
SOMBRILLAS MEJIAS SOCIEDAD LIMITADA.,1392,U1,2019,190.084557694426,2,SANTA LUCIA DE TIRAJANA,159.80024775617,109.475720167632,269.275967923802,29.6531501984477,145.857316513875,190.084557694426,-24.0095825233757,-24.0095825233757,-102.36,-8.916,-15.968
PRO-ESCENA ALBALADEJO SL,1399,U1,2022,188.551814971101,2,LA ROCA DEL VALLES,18.4947178004563,97.440614827162,115.935332627618,59.9911975309432,31.2398137335122,188.551814971101,18.0534869241536,18.0534869241536,30.094,15.572,9.575
GRUPO BEPIBOR SL.,1396,U1,2021,188.385601682639,3,MALAGA,173.485712315798,31.6506854821444,205.136397797942,33.6230409615755,149.243376770782,188.385601682639,30.2252400391817,30.2252400391817,130.651,16.074,21.375
RAVITEX SL,1320,U1,2012,188.263833489706,6,COCENTAINA,255.699803227786,16.4394199510014,272.139223178787,133.002547652909,124.788280202214,188.263833489706,-83.4422834605455,-83.4422834605455,-62.737,-30.662,-44.322
HILATURAS BONFIL SOCIEDAD ANONIMA.,1310,U1,2005,187.253686284921,7,ONTINYENT,12.4407841321659,77.9082034009278,90.3489875330937,60.1253760455799,8.70816430891156,187.253686284921,2.33219283862233,2.71343788000345,5.813,3.003,1.867
ESPUMA TENERIFE SL,1392,U1,2022,187.22837832607,1,SANTA CRUZ DE TENERIFE,121.181743522453,70.9723192323327,192.154062754786,118.141156363291,44.1083258933544,187.22837832607,3.33443531817794,3.33443531817794,2.822,1.735,1.781
EMWEY SPORT SL.,1392,U1,2022,186.962155093801,2,VIGO,30.0363268669307,128.46642603935,158.502752906281,74.4045937215686,31.0221847739279,186.962155093801,5.15525930256844,5.15525930256844,7.351,3.252,2.925
HILATURAS SAMOT SLL,1310,U1,2000,185.207822667003,10,TERRASSA,56.5474680658579,86.1513530852795,142.698821151137,40.6228762625456,11.0059642310143,185.207822667003,-20.0355446248054,-20.0355446248054,-70.458,-14.04,-15.454
BORDADOS RASPEIG SL,1320,U1,1997,184.582714686155,11,SANT VICENT DEL RASPEIG,19.1591810202599,46.5227718808651,65.681952901125,2.25515969109535,0.0,184.582714686155,6.5013715274334,-10.9729854934216,288.289,-16.706,3.522
TRANSFORMACION DE ESPUMAS MANCHEGAS SL,1399,U1,2002,184.007518506718,5,VILLA DEL RIO,34.2593981923723,537.88667448689,572.146072679262,9.41283241553307,1.38001811118603,184.007518506718,9.79516810434341,9.79516810434341,104.062,1.712,5.323
TEIXITS SABOTEX SL,1391,U1,2022,180.984750239688,1,CABRERA DE MAR,56.1696462264776,609.352650033909,665.522296260387,461.005684145004,60.1510274642587,180.984750239688,2.86652878867388,2.86652878867388,0.829,0.431,2.112
ALCATEX SIGLO XXI S.L.,1310,U1,2001,180.77183467865,7,CABRERA DE MAR,134.712560128093,110.59848573029,245.311045858383,60.3336573815346,106.002516942024,180.77183467865,-23.1552222325802,5.34242814850807,-34.584,2.178,-11.543
TWEEDY COMPANY SL,1392,U1,2010,180.485996103744,2,MATARO,56.7864192514515,87.4013535598004,144.187772811252,84.7484924972999,37.0130495226288,180.485996103744,-40.0498678188443,-40.0498678188443,-47.235,-27.776,-22.179
ACABADOS INDUSTRIALES DE BORDADOS S.L.,1330,U1,2002,180.209959681988,5,BARCELONA,88.0081006655693,52.9992897062302,141.008439073563,48.5307714934349,0.0,180.209959681988,-13.0993337235451,-0.51491256570816,-27.387,-0.365,-7.375
INDUSTRIAS POZUELO SL,1391,U1,2000,180.060291881919,5,TORREJON DE LA CALZADA,119.652175727248,69.5651751669645,189.217350894213,16.798332115531,0.768593714475632,180.060291881919,-12.304012937665,-12.3030824368,-70.581,-6.502,-6.585
JUCAR JEANS SL,1399,U1,2019,179.378759300578,3,VILLAMALEA,46.8295183036721,170.199301819963,217.028820123636,35.0875408207595,11.4982671186495,179.378759300578,11.6241328382587,11.6241328382587,33.129,5.356,6.48
GRUFIL 16 SL.,1310,U1,2019,177.967499468358,2,TERRASSA,0.0,89.6569920325065,89.6569920325065,79.7605358292627,0.0,177.967499468358,1.95420909211504,1.95420909211504,3.188,2.18,1.429
ATLANTIC MASK SL.,1392,U1,2021,176.811298642588,3,SANTA CRUZ DE TENERIFE,779.377518087959,50.9018893182278,830.279407406187,42.4098447549105,537.564634203529,176.811298642588,-128.029399253869,-128.029399253869,-366.469,-15.42,-87.901
TEXTILES DECO SA,1320,U1,1999,176.508416950703,14,BARCELONA,846.014787995815,63.56111292243,909.575900918245,195.525516170263,124.399756807089,176.508416950703,-120.280892211199,-120.280892211199,-56.625,-13.224,-62.726
TOLDOS Y TAPICERIAS GUADALGENIL SL,1320,U1,2022,176.044368070024,2,PALMA DEL RIO,61.7845139145315,41.044092223537,102.828606138068,34.9074333998323,11.3201723467171,176.044368070024,1.91283952224255,1.91283952224255,7.687,1.86,1.524
TALLERS RAQUEL SL,1399,U1,2014,174.63420265372,3,ALCOLETGE,208.696790529263,189.067054206881,397.763844736145,181.728326006432,58.756920565846,174.63420265372,1.65467342475891,1.65467342475891,0.911,0.416,0.948
ESTAMPATS DE QUALITAT ARTEX SL,1330,U1,2022,174.46509687174,3,MATARO,120.18462232486,17.0521739905715,137.236796315432,77.9950449149132,27.1976043269157,174.46509687174,37.5442699887097,37.5442699887097,48.137,27.357,21.52
ASPEADOS ERREYES SL,1399,U1,2017,172.470444205611,4,TERRASSA,23.1116061446285,77.2204290061903,100.332035150819,66.5198704460144,9.15767165135145,172.470444205611,1.03462374940634,1.03462374940634,2.074,1.031,0.8
PALMIRA TEXTIL HOGAR SL,1392,U1,2022,172.028013035023,2,BENIDORM,5.35056433486342,55.6907750542343,61.0413393890977,28.5193024147809,5.3044659049809,172.028013035023,-3.11555843719244,-3.11555843719244,-14.566,-5.104,-2.415
KARL TEX SL,1320,U1,1996,171.996624052763,2,CENTELLES,14.6215401678085,98.3800608301163,113.001600997925,6.62773332738876,0.462188205242157,171.996624052763,1.07236770772934,1.07350610232353,24.906,0.95,0.96
DESERPUNT SL,1391,U1,2012,171.198002023072,3,MATARO,224.886457564031,32.8275020498359,257.713959613867,60.5167197291434,67.7755700919533,171.198002023072,-22.9409083528543,-22.9409083528543,-37.908,-8.902,-13.4
REPRI TEX S.L.,1330,U1,2002,170.681455461979,11,SABADELL,0.966903025627136,21.7710486030579,22.737951628685,14.523470717907,0.0,170.681455461979,4.68769688129425,4.68769688129425,32.277,20.616,2.746
TRANSACCIONES TEXTILES ILTEX SL,1320,U1,2022,170.578268611993,2,MATARO,70.5108976277173,196.357296686125,266.868194313842,47.4279994746149,2.22128942825198,170.578268611993,-18.7833716199636,-18.7833716199636,-39.604,-7.038,-11.012
MATREU INTERIORISTAS SL,1395,U1,2022,170.30690543679,2,VALENCIA,57.4172476478934,23.6054039104104,81.0226515583038,13.7676128644645,6.24729718862176,170.30690543679,3.17715455763936,3.17715455763936,30.769,3.921,2.487
JAPI TEXTIL S.L.,1391,U1,2005,169.811581127957,4,MATARO,81.5405129668295,130.834540077214,212.375053044044,18.059267465961,37.9188816771388,169.811581127957,-39.6154262402499,-39.4464925832713,-219.363,-18.574,-23.329
TUBIPUNT S. L.,1310,U1,2021,169.644747545099,1,MAELLA,20.8932251098394,117.568136513972,138.461361623812,94.3855750766516,3.34529357213974,169.644747545099,0.537724647974968,0.537724647974968,0.76,0.388,0.423
"ARTELLANO 1994, S.L.",1393,U1,2022,167.909787082899,5,LORCA,5.33763714906573,62.1296121789575,67.4672493280232,2.93099406174421,34.0365442516744,167.909787082899,0.555899920685887,0.555899920685887,25.288,0.824,0.441
RACEPLAN S.L.,1330,U1,2003,167.580239115953,4,SANT BOI DE LLOBREGAT,75.4095288608074,37.2103026328087,112.619831493616,16.6702458913326,60.0957375559807,167.580239115953,5.68978390336037,5.6986248550415,33.124,5.06,3.295
CORDELERIA CENTRAL SL,1394,U1,2022,166.917006945223,1,MOANA,74.2491475121498,518.870988905924,593.120136418074,191.616891254514,95.3539089223385,166.917006945223,-34.8648014182866,-34.8648014182866,-18.195,-5.878,-20.888
FUNDAS MAREMAR S.L.,1392,U1,2021,166.878858312249,3,EL MASNOU,3.87613201024532,59.1355537734032,63.0116857836485,37.7969449186564,3.18539306073189,166.878858312249,-3.28738371841908,-3.28738371841908,-11.597,-5.217,-2.627
IRTEX TEXTIL SLL.,1330,U1,2007,166.371967363815,5,EZCABARTE,275.02524692688,4.20759839424133,279.232845321121,53.1574617116547,131.805839137802,166.371967363815,-27.8377069832611,-17.5998157202911,-52.368,-6.303,-16.732
YOUTHS 2013 S.COOP.,1392,U1,2016,165.597659971633,4,LA OLIVA,23.3065629066467,19.7538995373201,43.0604624439669,9.09192493300438,24.2196555683184,165.597659971633,-0.703116029362679,-0.703116029362679,-6.541,-1.633,-0.359
ORIGINAL SLOT CARS SL.,1399,U1,2014,165.104690626883,2,LANGREO/LLANGREU,191.599413095872,79.1928196861553,270.792232782028,45.440446654737,167.794967580824,165.104690626883,-36.4782109919119,-36.4782109919119,-107.036,-13.471,-29.459
ALFOMBRAS ARANJUEZ SL.,1393,U1,2021,163.389995192535,2,CREVILLENT,2.48096097350121,204.614167122173,207.095128095675,51.5726945023298,137.455216140676,163.389995192535,10.278166574192,10.278166574192,26.573,4.963,8.387
FIL PASAT S.L.,1310,U1,2006,162.828530299973,5,ALCOY/ALCOI,49.5441734888578,34.8974853880262,84.441658876884,18.8111291362309,11.0785989832449,162.828530299973,-11.2594366013074,0.420018448419571,-58.898,0.497,-6.804
FILSEN 2018 SL.,1310,U1,2022,162.642716155976,2,MURO DE ALCOY,33.9740201896727,94.8626545300365,128.836674719709,53.3179431706905,16.1860418761313,162.642716155976,-7.46191935386062,-7.46191935386062,-17.14,-5.792,-5.619
CREACIONES ROSE ESTORES SL,1392,U1,2022,162.466247270644,5,LEGANES,216.248619856507,31.4225648898303,247.671184746337,122.813107439744,9.03446030937433,162.466247270644,-12.6011583321154,-12.6011583321154,-13.681,-5.088,-10.342
ARDURA TAPICERIA SL,1392,U1,2011,162.02851068419,3,MADRID,245.52553995943,58.6855413264573,304.211081285887,205.410567468183,3.58091971197844,162.02851068419,12.7463243044269,12.7463243044269,8.359,4.19,10.597
TEXTILES SOFT SL,1391,U1,2009,161.575507395315,2,CASTELLOLI,40.8495783703423,28.2096496608067,69.0592280311489,9.9071385718441,58.5938279941559,161.575507395315,2.08836492230511,2.08836492230511,28.106,3.024,1.723
CENTRO DE PICAJE AITANA SL,1392,U1,2022,161.254536922008,3,VINAROS,60.0728030577898,75.7907144185245,135.863517476314,31.4347027920067,43.1101807602525,161.254536922008,7.89657997731566,7.89657997731566,33.494,5.812,6.529
LANAS ANDRES SA,1310,U1,2012,161.067596408796,1,LOGRONO,3.72243628108382,244.011938327122,247.734374608206,162.628631269057,69.9281975030899,161.067596408796,15.6486639772367,15.6486639772367,9.622,6.317,9.716
TENDENCIAS NAVARRO SL,1392,U1,2010,160.773602313048,2,BADALONA,130.553307056998,47.3673012495732,177.920606969673,13.1391582489645,128.925138546467,160.773602313048,0.91156420546174,0.91156420546174,6.938,0.512,0.567
TOLDOS RAFAEL SL,1392,U1,2022,160.507917280227,4,SANT VICENT RASPEIG/SAN VICENTE R.,171.965531637001,17.8329034839869,189.798435120988,156.974902469325,27.7015939171076,160.507917280227,-19.3965276677787,-19.3965276677787,-16.21,-10.22,-15.854
NEW CAMP SL,1392,U1,2022,160.321667677587,1,BIGUES I RIELLS DEL FAI,14.5315860799193,18.2722571451902,32.8038432251096,16.6887515469372,0.0,160.321667677587,0.099075359864831,0.099075359864831,1.644,0.302,0.171
NEW MORESAN SL.,1392,U1,2022,159.993730998927,2,MADRID,5.2283426995039,65.2527541385114,70.4810968380153,32.4449644952953,4.07851645317674,159.993730998927,3.60590621992946,3.60590621992946,11.114,5.116,2.254
SUCESORES DE ALDAMA SOCIEDAD LIMITADA.,1392,U1,2021,159.182318226886,3,BILBAO,117.807432306933,310.379792960143,428.187225267077,11.4157276710033,206.037471950555,159.182318226886,1.42983993215561,1.42983993215561,15.275,0.334,1.095
PRODUCCIONES JOYCE SL.,1392,U1,2022,157.97552211324,6,PALAU-SOLITA I PLEGAMANS,76.0505167218745,9.84814772697687,85.8986644488513,14.373825349611,35.7589211032987,157.97552211324,-23.5309126021504,-23.5309126021504,-214.104,-27.394,-19.481
LONAS ALGABA S.L.,1395,U1,2022,156.97535044111,3,VILASSAR DE MAR,165.435724241924,157.495936319339,322.931660561264,297.412094545245,10.8942898370504,156.97535044111,64.1552552630782,64.1552552630782,28.762,19.867,54.493
"CARLOS LUNA II, SA",1320,U1,2021,155.593685478687,1,LA GARRIGA,193.18470100944,209.918734640193,403.103435649633,64.0678582223654,140.44243812561,155.593685478687,-16.1388974731922,-16.1388974731922,-33.587,-4.004,-13.83
TOLDOS LLORENS GILABERT SL,1392,U1,2021,155.294146675372,1,COCENTAINA,21.986524186635,47.1039067291975,69.0904309158325,32.7360110527754,18.0134302640677,155.294146675372,0.882612767601013,0.882612767601013,3.595,1.277,0.758
CONFECCIONES JELU SL,1399,U1,2021,155.070016400528,3,ARAHAL,9.1470612991333,228.485100374365,237.632161673498,132.068727642417,50.9887937398195,155.070016400528,7.93947039271116,7.93947039271116,8.366,3.341,7.125
FUTURO DIRIMENTE 2000 S. L.,1330,U1,1999,154.687476002574,4,VILASSAR DE DALT,13.6475062280893,48.6347494673729,62.2822556954622,17.6267312681675,0.0,154.687476002574,0.0502300560474396,0.0502300560474396,0.285,0.081,0.032
BOBINADOS FUENGAR SL,1399,U1,2021,154.159586969376,1,CREVILLENT,110.671098985648,45.4446359527588,156.115734938407,50.8924434316635,86.619368746376,154.159586969376,13.5179244496822,13.5179244496822,35.416,8.659,11.692
TEJIDOS CASTELLOLI SL,1320,U1,2022,153.104170262456,2,CASTELLOLI,205.265482282084,70.9613215250093,276.226804873693,87.5212715843439,4.55861421483159,153.104170262456,1.38005174586773,1.38005174586773,2.102,0.5,1.202
JOBOTEX SL,1320,U1,2022,152.497967376705,2,MONISTROL DE CALDERS,23.4442727257192,74.9973990511477,98.4416717768669,24.1986038818002,7.70432541955709,152.497967376705,1.02025574049354,1.02025574049354,5.622,1.036,0.892
CONFECCIONES TJ SL,1391,U1,1998,152.379808405638,7,MATARO,20.0516823821068,65.3233586039543,85.3750409860611,51.0421984198093,5.74661591148376,152.379808405638,4.19043050122261,4.89623514962196,11.729,5.735,3.929
IBERCON 98 SL,1320,U1,2022,151.527245583045,2,ARENAS DE SAN PEDRO,1598.62094489885,316.709140478754,1915.3300853776,538.211722754472,1083.04156734165,151.527245583045,1.40723936682343,1.40723936682343,0.349,0.073,1.238
TEXTIL RIU CASAS S.L.,1310,U1,2003,150.93399009347,3,NAVARCLES,3.66773195457459,51.9506950714588,55.6171640329361,5.16311578178406,2.55882401514053,150.93399009347,0.171767061233521,0.171767061233521,4.746,0.309,0.162
HIJOS DE AGUSTIN GALBIS SOCIEDAD LIMITADA.,1392,U1,1999,150.467146693468,9,AGULLENT,37.1642138683796,159.449285315871,196.613499184251,74.725245179534,0.0,150.467146693468,-13.7791089749336,-13.7791089749336,-26.054,-7.008,-12.939
MASCOT CITY SL,1392,U1,2020,150.245805073446,2,BARCELONA,40.4407385387838,152.245302026904,192.686040565687,15.846600829941,146.315786418152,150.245805073446,0.939184990805388,0.939184990805388,7.902,0.487,0.833
COMERCIAL DIMAR IMPORT SL,1399,U1,2022,149.093617528671,1,VITORIA-GASTEIZ,0.318209291327,125.424761614704,125.742970906031,13.5135915303409,26.8409761220217,149.093617528671,2.948454295367,2.948454295367,21.818,2.345,1.978
NARPEAL ENCUADERNACIONES TEXTILES SL,1392,U1,2022,147.935589132279,4,LOGRONO,21.2016513077021,50.4640855839372,71.6657368916392,4.20298861345649,13.4643999619424,147.935589132279,-20.8133131000221,-20.8133131000221,-495.203,-29.042,-14.069
BORDADOS MILENIO S.L.,1330,U1,2000,147.791452385187,2,MADRID,10.1703744542599,17.921446659565,28.0918211138248,14.9531489002705,0.0,147.791452385187,3.86157858967781,3.86157858967781,36.901,13.746,3.734
IMPRETEX INDUSTRIA GRAFICA SOCIEDAD LIMITADA.,1330,U1,2022,146.437944792831,1,TORREBLANCA,15.3730264162064,36.2009199312329,51.5739463474393,8.78064162915349,15.8330507754922,146.437944792831,1.5042679222703,1.5042679222703,22.842,2.917,1.37
CABALLOL-CLAPERA SL,1392,U1,2022,145.946541076601,2,RIPOLL,92.3107832563937,62.6199599616945,154.930743218088,42.38505309816,28.4883710296214,145.946541076601,5.26211123930216,5.26211123930216,16.553,3.396,4.807
BROKEY FACTORY SL,1330,U1,2022,145.276705931979,2,BARCELONA,14.6955757512391,153.157596230823,167.853171982062,111.240566988111,42.5704707531989,145.276705931979,4.59052687152028,4.59052687152028,5.502,2.735,4.213
COLISEUM SL,1391,U1,2022,144.998814101309,4,IGUALADA,175.85583594448,101.043950542325,276.899786486804,127.160033654141,24.6299047168672,144.998814101309,1.52535459415317,1.52535459415317,1.599,0.551,1.403
CARICIA DE HOGAR SOCIEDAD DE RESPONSABILIDAD LIMITADA LABORAL.,1392,U1,2005,144.136272413731,12,ONTINYENT,49.8082956095934,43.2385223155022,93.0456382207871,64.7999779621363,0.0,144.136272413731,-23.4194899325371,-23.4194899325371,-36.141,-25.17,-16.248
SEDICA SL,1320,U1,2021,143.957893567944,4,MONCADA,566.903976934218,305.047295518541,871.95127245276,660.972820334887,88.3472411234379,143.957893567944,11.2649547854733,11.2649547854733,2.272,1.292,10.434
