Nombre empresaAlfabeto latino,NACE Rev. 2 Código principal (4 digitos),Código de consolidación,Último año disponible,"Ingresos explotación (Cifra ventas)
mil USD Últ, año disp,","Número de empleados
Últ. año disp.","Ciudad
Latin Alphabet","Activos fijos
mil USD Últ. año disp.","Activo circulante
mil USD Últ. año disp.","Activos totales
mil USD Últ. año disp.","Fondos de los accionistas
mil USD Últ. año disp.","Deuda a largo plazo
mil USD Últ. año disp.","Ingresos explotación (Cifra ventas)
mil USD Últ. año disp.","Resultado actividades ordinarias
mil USD Últ. año disp.","P/G por periodo [=ingresos netos]
mil USD Últ. año disp.","ROE - base: result. antes impuestos
Últ. año disp.","ROA utilizando Ingresos Netos
Últ. año disp.","Margen de beneficio
Últ. año disp."
EBRO FOOD S.A.,1081,C1,2022,3186394.50900614,6293,MADRID,2379623.98908496,1780344.40061212,4159968.38969707,2344684.32304859,534177.555508018,3186394.50900614,143615.487895012,130188.066937327,8.406,3.13,6.186
"CORPORACION ALIMENTARIA GUISSONA, SOCIEDAD ANONIMA",1011,C2,2022,3087098.76835505,4449,GUISSONA,738470.117734897,520383.565638208,1258853.68337311,934908.987949884,4879.19135702252,3087098.76835505,76867.6065918446,76867.6065918446,10.598,6.106,3.209
NESTLE ESPANA SAU,1086,U1,2022,2555410.25074482,4116,ESPLUGUES DE LLOBREGAT,1263191.90613568,772037.774185538,2035229.68032122,283809.324631691,981726.967179179,2555410.25074482,98987.8987067938,99727.0521521568,45.726,4.9,5.078
AMFRESH HOLDCO SA.,1032,C2,2021,1939613.56763673,4639,MURCIA,534044.660158157,675902.343962312,1209947.00412047,408535.644542456,237426.684568763,1939613.56763673,39892.4071395397,32873.6629465818,12.667,2.717,2.668
CAMPOFRIO FOOD GROUP SA,1013,C2,2022,1914170.63840389,7087,ALCOBENDAS,1438139.82059777,952353.883872032,2390493.7044698,769299.813299179,525158.390235305,1914170.63840389,-65269.4890844822,-74924.3476521969,-10.939,-3.134,-4.396
EL POZO ALIMENTACION SA,1013,U2,2022,1783954.1508566,3875,ALHAMA DE MURCIA,501020.017226607,627324.449303055,1128344.46652966,718473.793177894,38085.6982875389,1783954.1508566,54442.6254006815,54442.6254006815,9.088,4.825,3.66
LIPIDOS SANTIGA SA,1041,C2,2022,1445677.33732356,216,SANTA PERPETUA DE MOGODA,103907.984554796,292412.673960707,396320.658515503,140527.2728023,27430.0302212006,1445677.33732356,55098.2278417313,55098.2278417313,52.038,13.902,5.058
"VISCOFAN, S.A.",1089,C1,2022,1290150.20820141,5510,TAJONAR,665759.667976499,768461.466101408,1434221.13407791,967267.077916861,50108.8439583778,1290150.20820141,148715.966647863,148715.966647863,20.266,10.369,15.194
CASA TARRADELLAS SA,1089,U1,2021,1239598.19111109,2110,GURB,350086.755037308,267491.877615452,617578.63265276,512747.413394451,175.553047657013,1239598.19111109,30730.844142437,30730.844142437,7.578,4.976,3.135
DCOOP S.COOP. AND,1041,U2,2021,1162831.18830635,688,ANTEQUERA,232453.038700333,730895.861696797,963348.90039713,180934.307460648,61813.2457667145,1162831.18830635,941.249207070923,941.249207070923,0.658,0.098,0.102
"INDUSTRIAS CARNICAS LORIENTE PIQUERAS, SA",1013,C2,2022,1110906.21978872,2259,TARANCON,269377.774917775,712843.881104058,982221.656021833,384655.271645015,153914.95759605,1110906.21978872,13977.1975307083,13977.1975307083,4.244,1.423,1.47
NANTA SAU,1091,U2,2022,1089846.02410495,658,TRES CANTOS,286064.115949869,277961.15963757,564025.27558744,291639.231474996,0.0,1089846.02410495,-8516.79691374302,-8516.79691374302,-2.435,-1.51,-0.652
INDUSTRIAS LACTEAS ASTURIANAS SA,1051,C2,2022,1028386.13081127,1418,NAVIA,155439.843953028,456911.61347149,612351.457424517,226915.287763367,124607.386962671,1028386.13081127,17999.1202150381,17999.1202150381,10.852,2.939,2.395
"CORPORACION ALIMENTARIA PENASANTA, SA",1051,C2,2022,963196.934269667,1120,SIERO,186517.319111228,303950.989367962,490468.30847919,270385.103472471,3323.52400541306,963196.934269667,5487.65436708927,5487.65436708927,2.719,1.119,0.763
EUROPASTRY SA,1072,C2,2021,960346.524503231,3599,SANT CUGAT DEL VALLES,972015.705471039,271215.867426395,1243231.57289743,301757.567317486,621448.727903366,960346.524503231,27556.1654806137,27556.1654806137,9.302,2.216,2.923
"DANONE, SA",1051,U2,2022,952301.620497108,1324,BARCELONA,261492.863538861,314568.987273574,576061.850812435,351928.7675488,0.0,952301.620497108,11488.3430880308,11488.3430880308,3.83,1.994,1.415
ACEITES DEL SUR-COOSUR SA,1041,U1,2022,936899.60497341,414,VILCHES,147679.701249051,523019.131907095,670698.833156146,100564.698594064,67922.146543569,936899.60497341,7158.11022222459,7158.11022222459,10.213,1.067,1.096
MIGASA ACEITES SLU,1041,U1,2021,887888.542618383,177,DOS HERMANAS,39261.2950349424,324956.714644317,364218.009679259,64528.7531889816,52644.6118181989,887888.542618383,15171.0108433581,15171.0108433581,30.618,4.165,2.225
DEOLEO S.A.,1061,C1,2022,886484.965875149,242,RIVAS VACIAMADRID,624033.229396343,315453.19824934,939486.427645683,538767.133105993,167695.037941933,886484.965875149,6685.44559240341,2887.28481471539,3.031,0.307,1.842
LITERA MEAT SL.,1011,U1,2022,859673.964889181,1605,BINEFAR,131847.750788257,153168.166946373,285015.91773463,70503.6362290672,78878.5120441962,859673.964889181,8770.40636980824,8770.40636980824,15.941,3.077,1.307
FRIGORIFICOS COSTA BRAVA SA,1011,U1,2022,790077.247548585,1834,RIUDELLOTS DE LA SELVA,151123.385792973,272420.650274152,423544.036067125,105516.583473911,100327.953046514,790077.247548585,9451.26693200752,9451.26693200752,11.451,2.231,1.529
VALL COMPANYS SAU,1091,U2,2022,746586.500401554,178,BARCELONA,481236.445136327,745490.693152909,1226727.13828924,266515.581856021,337162.955154659,746586.500401554,8686.09185091734,8686.09185091734,6.743,0.708,2.407
CARNICAS CINCO VILLAS SA,1011,U1,2022,695454.590213031,144,EJEA DE LOS CABALLEROS,96812.9828910923,103504.549697959,200317.532589051,62252.5740343618,10665.9948825836,695454.590213031,17586.6331283444,17586.6331283444,37.559,8.779,3.362
COOP OURENSANAS S.COOP. GALEGA,1013,U2,2021,688872.088957043,1512,OURENSE,171301.449584041,261844.504829772,433145.954413812,132159.10008615,113937.397084143,688872.088957043,4097.55197255373,4097.55197255373,3.59,0.946,0.689
SOVENA ESPANA SA,1041,U1,2021,685752.503371975,259,BRENES,37154.2757913923,165911.943838563,203066.219629955,14930.3359283066,28932.4526724315,685752.503371975,-13675.537108469,-13675.537108469,-102.012,-6.735,-2.221
DEOLEO GLOBAL SA.,1041,U1,2022,671608.899570107,295,CORDOBA,463530.271803737,230785.464271903,694315.73607564,490285.919966698,874.611580371857,671608.899570107,-2856.35342955589,-2856.35342955589,-1.016,-0.411,-0.741
FRINSA DEL NOROESTE SA,1020,C2,2022,651605.241075023,1327,RIBEIRA,116662.602021483,348650.412965115,465313.014986598,140742.113670822,92478.6190854681,651605.241075023,25301.4901512486,25301.4901512486,25.329,5.438,5.471
SCA GANADERA DEL VALLE DE LOS PEDROCHES,1091,U2,2021,607856.882029417,894,POZOBLANCO,134178.156074059,247107.43355273,381285.589626789,153044.581607687,26180.3347267199,607856.882029417,10801.6793535089,10801.6793535089,7.26,2.833,1.828
LACTALIS COMPRAS Y SUMINISTROS SL,1051,U1,2022,607269.138903867,223,VILALBA,6425.69900821071,135728.960351223,142154.659359434,41381.6234872275,0.0,607269.138903867,9069.4914779142,9069.4914779142,29.461,6.38,2.008
HARINERA VILAFRANQUINA SA,1061,U1,2022,600651.802067054,339,VILAFRANCA DEL PENEDES,63016.3476143904,282622.353823533,345638.701437924,154537.119018006,17138.058735897,600651.802067054,50942.6298327714,50942.6298327714,43.662,14.739,11.233
AFFINITY PETCARE SA,1092,C2,2022,591622.470746636,511,L'HOSPITALET DE LLOBREGAT,297758.312739134,234773.479758501,532531.792497635,247939.583841562,23188.939474225,591622.470746636,58458.1847524643,58458.1847524643,30.774,10.977,12.897
HERBA RICEMILLS SLU,1061,U1,2021,572450.849564216,796,SAN JUAN DE AZNALFARACHE,175392.87079113,366339.482239201,541732.353030331,240248.699434204,35085.5450865984,572450.849564216,21288.4641087341,21288.4641087341,10.237,3.93,4.296
NOEL ALIMENTARIA SAU,1013,U2,2022,564958.479008146,1893,SANT JOAN LES FONTS,172559.99569944,215935.607603184,388495.603302624,63248.8833257586,110953.330838246,564958.479008146,723.446327989131,723.446327989131,0.104,0.186,0.012
CONSERVAS RIANXEIRA SAU,1020,U2,2022,556018.15467907,970,BOIRO,240362.739630097,271579.748933251,511942.488563348,122443.323892756,65309.2782370798,556018.15467907,4187.10913360527,4187.10913360527,4.115,0.818,0.906
BIMBO DONUTS IBERIA SAU,1071,U2,2021,550020.156912804,1791,MADRID,179949.802050591,78019.1721796989,257968.974230289,101709.772810936,1636.60744428635,550020.156912804,9098.17826986313,9098.17826986313,4.815,3.527,0.89
ACEITES ABRIL SL,1041,U1,2022,547733.78803267,151,SAN CIBRAO DAS VINAS,25463.1253788599,148625.239487531,174088.364866391,44743.0083826874,7797.28373536281,547733.78803267,21003.1140416519,21003.1140416519,62.089,12.065,5.072
ELABORADOS CARNICOS MEDINA SAU,1013,U1,2021,530060.288789462,1309,BUNOL,44003.3071609303,81132.0743243299,125135.38148526,1349.2384652529,48540.1747457241,530060.288789462,2759.40332923336,2759.40332923336,264.284,2.205,0.673
QUESERIAS ENTREPINARES SAU,1051,U1,2022,519536.690465561,851,VALLADOLID,128798.386880553,185410.336715769,314208.723596322,160182.098238857,49881.1933259959,519536.690465561,12190.5563746893,12190.5563746893,9.845,3.88,3.036
AGOTZAINA S.L.,1089,U1,2022,507589.716018508,123,ARBIZU,189160.016098996,170887.678766856,360047.694865852,190065.691941491,41684.0699526893,507589.716018508,14156.6686162842,14156.6686162842,8.589,3.932,3.216
LACTEAS GARCIA BAQUERO SOCIEDAD ANONIMA,1051,U2,2021,492141.210721929,84,ALCAZAR DE SAN JUAN,68133.4629380465,83170.0435707951,151303.506508842,76622.6567463899,7857.86993835926,492141.210721929,23268.598287077,23268.598287077,39.89,15.379,6.211
HARINERA DEL MAR SIGLO XXI SL,1061,U1,2022,491252.110845731,384,ALMENARA,102286.148570733,173466.591228011,275752.739798744,73009.5402538985,38997.1736794239,491252.110845731,2989.18772982359,2989.18772982359,6.158,1.084,0.915
BORGES AGRICULTURAL & INDUSTRIAL EDIBLE OILS S.A.U.,1041,U1,2022,482977.567544818,316,TARREGA,54902.0022525787,232914.631121993,287816.633374572,72468.1147044897,48635.9662867785,482977.567544818,17004.7510489225,17004.7510489225,30.181,5.908,4.529
"GALLETAS GULLON, SA",1072,C2,2021,477653.324526107,1199,AGUILAR DE CAMPOO,366486.460573921,341312.25927947,707798.719853391,545018.383902987,2888.32755068614,477653.324526107,28614.6253642156,28614.6253642156,6.733,4.043,7.682
MAZANA PIENSOS COMPUESTOS SL,1091,U2,2022,467167.454378031,129,CAPELLA,65204.9656604078,204992.789707945,270197.755368353,221547.543422565,193.886689627492,467167.454378031,22394.2972677508,22394.2972677508,13.003,8.288,6.167
ESCURIS SL,1020,U1,2022,449775.368037472,483,A POBRA DO CARAMINAL,26710.1750483605,95472.2942979866,122182.469346347,38021.87612063,1941.86505410644,449775.368037472,780.20452274663,780.20452274663,2.78,0.639,0.235
AB AZUCARERA IBERIA SL.,1081,U1,2022,446988.0,1123,MADRID,100222.0,284927.0,385149.0,40652.0,869.0,446988.0,7043.0,7043.0,23.94,1.829,2.177
AVISERRANO SOCIEDAD LIMITADA.,1011,C2,2022,443896.243361308,974,EL VISO DEL ALCOR,67156.1275902957,79175.6510892725,146331.778679568,36357.839114545,30099.7266071123,443896.243361308,8948.84330185234,8948.84330185234,30.775,6.115,2.521
